Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC+,BsR,Fld,Off,Def,WAR,playerid
Carson Kelly,Diamondbacks,99,390,336,84,18,1,14,43,46,44,75,4,1,0,0.249,0.34,0.428,0.768,0.322,96,-0.3,0.8,-2.1,9.1,2,13620
Jackie Bradley Jr.,Red Sox,147,576,502,121,29,3,19,72,71,56,151,10,11,4,0.24,0.325,0.426,0.751,0.318,93,1.9,0.9,-3.4,3.3,2,12984
David Peralta,Diamondbacks,138,605,544,152,32,4,22,77,77,48,121,6,3,1,0.279,0.342,0.471,0.813,0.341,109,0.2,0.1,7.1,-6.5,2,2136
Joey Votto,Reds,150,670,557,150,30,1,23,91,76,97,123,7,4,1,0.27,0.382,0.451,0.833,0.356,117,-4,0,10.9,-12.5,2,4314
Brandon Belt,Giants,126,551,467,118,28,3,18,68,63,74,121,4,4,2,0.253,0.358,0.44,0.798,0.34,112,-0.1,3.8,8.9,-6.7,2,10264
Mike Zunino,Rays,99,389,348,71,14,1,17,42,47,31,134,5,1,1,0.204,0.276,0.395,0.671,0.285,78,-0.4,2.2,-11.4,10.5,1.9,13265
Jason Castro,Angels,90,354,307,67,15,1,12,40,40,38,110,4,1,1,0.219,0.311,0.386,0.697,0.301,88,-0.9,1.2,-6.4,8.7,1.9,8722
Victor Robles,Nationals,150,609,546,143,31,3,17,71,71,39,128,15,27,11,0.262,0.326,0.422,0.748,0.318,92,1.2,3.5,-5.4,5.6,1.9,18363
Robinson Cano,Mets,130,565,515,139,31,1,20,67,74,39,91,6,1,0,0.271,0.327,0.448,0.775,0.325,104,-2.1,-1.8,1.2,0.3,1.9,3269
Yadier Molina,Cardinals,102,428,394,104,21,1,12,44,50,24,65,5,4,2,0.263,0.311,0.41,0.721,0.306,90,-2.7,3.9,-8.5,12.4,1.9,7007
Edwin Encarnacion,White Sox,134,578,495,122,20,1,35,81,92,71,133,7,2,1,0.246,0.346,0.499,0.845,0.353,123,-2.7,-0.3,14.3,-15,1.9,2151
Josh Bell,Pirates,150,641,549,151,32,3,29,83,94,82,121,4,2,1,0.274,0.369,0.503,0.872,0.362,124,-2.2,-7.2,18.5,-19.7,1.9,13145
Trey Mancini,Orioles,150,657,588,160,31,2,30,86,90,54,148,7,1,1,0.272,0.338,0.486,0.824,0.345,113,-0.4,-3.6,10.7,-14.5,1.9,15149
Mitch Garver,Twins,90,378,332,84,18,1,16,51,52,37,91,3,1,0,0.254,0.333,0.464,0.797,0.336,108,-0.3,-2.7,3.7,4.9,1.9,15161
Will Smith,Dodgers,98,397,351,79,15,1,20,47,55,35,100,6,3,1,0.225,0.304,0.44,0.744,0.313,95,0,0.7,-2.7,8.9,1.8,19197
Kevin Kiermaier,Rays,112,467,422,101,19,5,14,53,52,34,108,6,15,5,0.239,0.302,0.41,0.712,0.301,89,2.2,5,-4.5,6.9,1.8,11038
Charlie Blackmon,Rockies,144,660,591,174,33,6,30,101,84,51,121,9,8,3,0.294,0.356,0.52,0.877,0.365,111,0.3,-5,9.5,-12.2,1.8,7859
Brett Gardner,Yankees,118,509,447,110,20,4,17,67,57,50,100,5,10,3,0.246,0.327,0.422,0.748,0.319,98,2.3,-1.5,1.2,-0.4,1.8,9927
Jose Abreu,White Sox,149,658,598,165,35,1,32,87,101,42,139,12,3,1,0.275,0.333,0.497,0.83,0.344,117,-2.2,-3.1,11.9,-16.5,1.8,15676
Dansby Swanson,Braves,146,605,536,135,29,3,18,69,67,56,135,4,10,4,0.252,0.325,0.416,0.741,0.313,90,1.9,-1.9,-6.4,5.4,1.8,18314
Jonathan Villar,Marlins,150,662,589,152,28,4,17,78,64,59,169,5,33,10,0.257,0.327,0.407,0.734,0.314,96,3.1,-6,-0.2,-2.7,1.8,10071
Adam Frazier,Pirates,131,568,508,141,29,5,10,65,54,44,76,7,7,4,0.277,0.34,0.412,0.752,0.321,98,1,-1.4,-0.7,0.8,1.8,15223
Randal Grichuk,Blue Jays,130,548,502,123,30,3,30,71,84,34,148,5,3,1,0.245,0.298,0.499,0.797,0.329,105,0.2,-1.3,3.4,-4.4,1.8,10243
David Fletcher,Angels,126,549,500,140,27,3,6,65,51,38,59,4,8,3,0.28,0.333,0.385,0.718,0.309,93,0.5,1.7,-4.1,2.8,1.8,17992
Jacob Stallings,Pirates,80,316,287,75,16,1,7,30,33,20,61,4,1,1,0.262,0.316,0.393,0.71,0.3,84,0,0.2,-6.7,6.9,1.7,13723
Trent Grisham,Padres,123,537,464,114,21,4,19,68,57,60,115,4,10,4,0.245,0.335,0.427,0.761,0.324,101,0.8,2.1,1.5,-1.3,1.7,18564
Brandon Nimmo,Mets,118,509,418,97,21,3,15,63,50,74,137,10,7,3,0.231,0.358,0.399,0.757,0.329,107,1,-5.2,5.7,-4.6,1.7,12927
Carter Kieboom,Nationals,102,412,364,95,19,1,12,45,48,38,96,4,4,2,0.26,0.335,0.414,0.749,0.32,93,0.3,5.3,-3.2,7.1,1.7,19958
Sean Murphy,Athletics,90,358,322,81,17,1,14,44,46,27,76,4,2,1,0.25,0.313,0.441,0.753,0.317,100,0.3,0,0.3,7.5,1.7,19352
Yuli Gurriel,Astros,149,620,574,166,37,2,24,81,93,33,75,6,5,2,0.289,0.332,0.485,0.816,0.341,116,-1.7,-3.7,10.9,-15.8,1.7,19198
Mitch Haniger,Mariners,115,512,446,111,24,2,20,64,60,51,127,8,5,2,0.249,0.335,0.445,0.779,0.33,109,-0.4,-0.3,5.5,-6.6,1.7,14274
Brandon Crawford,Giants,130,533,476,118,26,2,13,52,58,47,112,4,4,2,0.247,0.318,0.394,0.711,0.301,87,-0.2,2.2,-9,8.7,1.6,5343
Jonathan Schoop,Tigers,136,557,515,135,28,2,26,68,79,27,127,8,2,1,0.262,0.306,0.477,0.783,0.325,101,-0.9,-4.2,-0.3,-2.6,1.6,11265
Yasiel Puig,,118,494,442,118,22,2,22,62,72,43,102,4,13,6,0.268,0.335,0.478,0.814,0.341,111,-0.9,-0.1,5.9,-6,1.6,14225
Jurickson Profar,Padres,131,536,469,115,25,2,18,60,64,51,80,8,7,3,0.244,0.327,0.423,0.749,0.319,97,0.7,-1.7,-1.2,0.4,1.6,10815
Miguel Rojas,Marlins,130,546,499,136,28,1,9,54,50,34,68,7,8,4,0.273,0.325,0.386,0.711,0.304,90,-1.3,1.6,-8.8,7.6,1.6,7802
Justin Upton,Angels,144,624,547,131,25,1,30,81,91,66,187,6,5,2,0.24,0.325,0.456,0.781,0.329,107,0.7,-3.7,6.4,-12,1.6,5222
Travis d'Arnaud,Braves,85,352,319,82,17,1,13,41,46,26,71,3,1,1,0.257,0.316,0.44,0.756,0.319,94,-0.4,-0.6,-3.4,5.9,1.6,7739
Tyler Flowers,Braves,62,248,215,50,9,1,8,26,28,23,73,6,1,0,0.232,0.322,0.391,0.713,0.306,85,-0.6,-2.1,-5.4,3.1,1.6,9134
Tom Murphy,Mariners,117,472,433,94,20,2,20,49,57,29,161,4,3,1,0.217,0.271,0.407,0.677,0.284,78,0.3,0.7,-12.8,7.2,1.6,13499
Jason Heyward,Cubs,122,507,444,116,22,3,14,59,58,52,85,4,6,2,0.261,0.342,0.418,0.76,0.324,98,1.4,3.5,0.1,-0.5,1.6,4940
Evan Longoria,Giants,128,551,502,127,27,3,20,61,71,38,116,6,3,1,0.252,0.31,0.438,0.748,0.314,96,-0.4,-0.7,-3.4,1.5,1.5,9368
Reese McGuire,Blue Jays,75,298,268,65,13,1,8,32,32,22,59,3,3,1,0.241,0.303,0.387,0.69,0.295,82,0.1,-0.6,-6.9,5.6,1.5,15674
Nick Madrigal,White Sox,109,440,402,115,22,3,5,50,44,27,25,5,18,8,0.287,0.337,0.392,0.729,0.313,96,0.5,0,-1.7,1.8,1.5,sa3008139
Nick Solak,Rangers,112,471,419,112,19,2,17,57,62,41,103,6,6,3,0.267,0.339,0.444,0.783,0.332,98,0.1,-1,-1.2,0.2,1.5,19294
Jeimer Candelario,Tigers,104,452,393,95,22,3,15,55,51,47,110,6,3,1,0.243,0.331,0.424,0.755,0.322,99,0.5,0.4,-0.3,-0.1,1.5,13621
Wilson Ramos,Mets,99,412,373,102,18,1,15,47,55,32,65,2,1,0,0.274,0.332,0.447,0.779,0.327,106,-3.1,-1.2,0,7.1,1.5,1433
Ian Happ,Cubs,112,457,394,94,19,2,20,57,59,54,133,4,7,3,0.238,0.332,0.444,0.777,0.328,101,0.1,-1.1,0.7,0,1.5,17919
